Количество уникальных ОКПД2 кодов: 3630
Топ 10 самых часто встречающихся ОКПД2 кодов:
ОКПД2 код: 14.12.30.132, Количество строк: 62481
ОКПД2 код: 26.51.63.130, Количество строк: 445
ОКПД2 код: 30.20.40.171, Количество строк: 444
ОКПД2 код: 25.73.30.110, Количество строк: 442
ОКПД2 код: 25.99.12.119, Количество строк: 431
ОКПД2 код: 25.94.11.140, Количество строк: 429
ОКПД2 код: 14.13.12.120, Количество строк: 429
ОКПД2 код: 27.51.24.110, Количество строк: 428
ОКПД2 код: 26.51.65.000, Количество строк: 426
ОКПД2 код: 25.73.40.112, Количество строк: 424
ОКПД2 код: 22.21.30.130, Количество строк: 424
ОКПД2 код: 22.19.72.000, Количество строк: 422
ОКПД2 код: 31.01.11.130, Количество строк: 421
ОКПД2 код: 27.51.21.119, Количество строк: 421
ОКПД2 код: 28.24.12.110, Количество строк: 421
ОКПД2 код: 30.20.40.173, Количество строк: 420
ОКПД2 код: 32.99.53.190, Количество строк: 418
ОКПД2 код: 28.22.19.190, Количество строк: 417
ОКПД2 код: 28.15.10.116, Количество строк: 415
ОКПД2 код: 24.10.62.121, Количество строк: 414
ОКПД2 код: 25.93.14.130, Количество строк: 414
ОКПД2 код: 26.40.20.121, Количество строк: 410
ОКПД2 код: 14.39.10.140, Количество строк: 410
ОКПД2 код: 26.51.33.199, Количество строк: 406
ОКПД2 код: 20.30.12.140, Количество строк: 406
ОКПД2 код: 23.99.11.130, Количество строк: 405
ОКПД2 код: 27.90.12.110, Количество строк: 403
ОКПД2 код: 14.12.12.120, Количество строк: 403
ОКПД2 код: 17.24.11.120, Количество строк: 397
ОКПД2 код: 22.23.12.140, Количество строк: 395
ОКПД2 код: 30.20.40.175, Количество строк: 395
ОКПД2 код: 28.14.13.120, Количество строк: 394
ОКПД2 код: 22.23.15.000, Количество строк: 392
ОКПД2 код: 20.30.22.220, Количество строк: 391
ОКПД2 код: 25.73.30.231, Количество строк: 390
ОКПД2 код: 30.99.10.190, Количество строк: 384
ОКПД2 код: 26.51.53.190, Количество строк: 383
ОКПД2 код: 01.19.21.190, Количество строк: 382
ОКПД2 код: 22.21.30.120, Количество строк: 379
ОКПД2 код: 31.01.12.131, Количество строк: 378
ОКПД2 код: 25.93.11.140, Количество строк: 374
ОКПД2 код: 27.32.13.145, Количество строк: 372
ОКПД2 код: 27.51.27.000, Количество строк: 371
ОКПД2 код: 27.32.13.124, Количество строк: 371
ОКПД2 код: 27.33.11.130, Количество строк: 370
ОКПД2 код: 28.24.12.190, Количество строк: 367
ОКПД2 код: 25.73.30.239, Количество строк: 366
ОКПД2 код: 15.20.32.129, Количество строк: 366
ОКПД2 код: 26.30.40.110, Количество строк: 361
ОКПД2 код: 30.20.40.142, Количество строк: 359
ОКПД2 код: 20.59.59.900, Количество строк: 359
ОКПД2 код: 23.91.11.150, Количество строк: 354
ОКПД2 код: 27.90.33.110, Количество строк: 353
ОКПД2 код: 28.29.13.130, Количество строк: 352
ОКПД2 код: 32.99.12.110, Количество строк: 352
ОКПД2 код: 25.73.40.121, Количество строк: 351
ОКПД2 код: 17.22.11.110, Количество строк: 346
ОКПД2 код: 31.09.13.120, Количество строк: 346
ОКПД2 код: 26.30.60.190, Количество строк: 345
ОКПД2 код: 27.32.13.191, Количество строк: 344
ОКПД2 код: 25.73.30.164, Количество строк: 344
ОКПД2 код: 27.32.13.139, Количество строк: 343
ОКПД2 код: 20.41.32.112, Количество строк: 343
ОКПД2 код: 29.32.30.132, Количество строк: 343
ОКПД2 код: 28.23.26.000, Количество строк: 342
ОКПД2 код: 17.22.12.110, Количество строк: 339
ОКПД2 код: 28.24.22.000, Количество строк: 339
ОКПД2 код: 10.72.12.120, Количество строк: 338
ОКПД2 код: 20.52.10.190, Количество строк: 335
ОКПД2 код: 27.51.21.111, Количество строк: 335
ОКПД2 код: 26.30.40.120, Количество строк: 334
ОКПД2 код: 27.51.24.190, Количество строк: 334
ОКПД2 код: 25.91.11.000, Количество строк: 332
ОКПД2 код: 29.32.30.171, Количество строк: 331
ОКПД2 код: 32.99.51.111, Количество строк: 330
ОКПД2 код: 32.50.50.190, Количество строк: 329
ОКПД2 код: 31.09.12.123, Количество строк: 327
ОКПД2 код: 25.72.12.111, Количество строк: 327
ОКПД2 код: 23.13.13.112, Количество строк: 322
ОКПД2 код: 15.12.12.192, Количество строк: 322
ОКПД2 код: 15.20.32.190, Количество строк: 321
ОКПД2 код: 31.01.11.150, Количество строк: 320
ОКПД2 код: 20.30.22.110, Количество строк: 318
ОКПД2 код: 58.19.13.120, Количество строк: 317
ОКПД2 код: 27.40.39.119, Количество строк: 312
ОКПД2 код: 22.22.11.190, Количество строк: 307
ОКПД2 код: 26.51.66.140, Количество строк: 307
ОКПД2 код: 25.93.11.120, Количество строк: 306
ОКПД2 код: 29.32.30.240, Количество строк: 305
ОКПД2 код: 16.23.19.000, Количество строк: 304
ОКПД2 код: 27.90.32.110, Количество строк: 304
ОКПД2 код: 29.32.30.164, Количество строк: 303
ОКПД2 код: 25.30.12.115, Количество строк: 302
ОКПД2 код: 32.99.11.120, Количество строк: 298
ОКПД2 код: 19.20.29.110, Количество строк: 298
ОКПД2 код: 22.21.29.110, Количество строк: 297
ОКПД2 код: 27.32.11.000, Количество строк: 297
ОКПД2 код: 13.94.12.190, Количество строк: 296
ОКПД2 код: 14.14.14.140, Количество строк: 295
ОКПД2 код: 10.83.13.120, Количество строк: 295
ОКПД2 код: 23.91.12.110, Количество строк: 292
ОКПД2 код: 25.73.30.232, Количество строк: 292
ОКПД2 код: 58.13.10.000, Количество строк: 292
ОКПД2 код: 27.12.10.190, Количество строк: 289
ОКПД2 код: 26.51.63.120, Количество строк: 289
ОКПД2 код: 10.85.19.190, Количество строк: 288
ОКПД2 код: 26.51.43.116, Количество строк: 287
ОКПД2 код: 26.51.43.131, Количество строк: 286
ОКПД2 код: 29.32.30.129, Количество строк: 286
ОКПД2 код: 22.19.30.131, Количество строк: 286
ОКПД2 код: 14.14.22.140, Количество строк: 285
ОКПД2 код: 20.13.62.190, Количество строк: 284
ОКПД2 код: 25.11.22.160, Количество строк: 284
ОКПД2 код: 16.10.10.119, Количество строк: 284
ОКПД2 код: 25.73.10.000, Количество строк: 283
ОКПД2 код: 25.73.30.161, Количество строк: 283
ОКПД2 код: 27.32.13.137, Количество строк: 283
ОКПД2 код: 29.32.30.212, Количество строк: 282
ОКПД2 код: 27.51.13.110, Количество строк: 279
ОКПД2 код: 25.99.12.130, Количество строк: 278
ОКПД2 код: 13.99.19.190, Количество строк: 277
ОКПД2 код: 22.21.42.110, Количество строк: 276
ОКПД2 код: 23.13.12.120, Количество строк: 272
ОКПД2 код: 26.51.66.121, Количество строк: 271
ОКПД2 код: 23.61.12.159, Количество строк: 270
ОКПД2 код: 32.99.56.190, Количество строк: 270
ОКПД2 код: 32.99.14.130, Количество строк: 269
ОКПД2 код: 27.52.14.000, Количество строк: 268
ОКПД2 код: 27.51.30.000, Количество строк: 268
ОКПД2 код: 26.52.14.000, Количество строк: 268
ОКПД2 код: 28.41.40.000, Количество строк: 268
ОКПД2 код: 16.29.14.199, Количество строк: 268
ОКПД2 код: 23.99.19.111, Количество строк: 268
ОКПД2 код: 32.91.19.110, Количество строк: 267
ОКПД2 код: 24.33.20.000, Количество строк: 265
ОКПД2 код: 25.94.11.120, Количество строк: 264
ОКПД2 код: 10.83.11.120, Количество строк: 261
ОКПД2 код: 20.41.41.000, Количество строк: 260
ОКПД2 код: 27.12.40.000, Количество строк: 259
ОКПД2 код: 24.20.13.140, Количество строк: 259
ОКПД2 код: 23.64.10.110, Количество строк: 258
ОКПД2 код: 27.33.11.160, Количество строк: 257
ОКПД2 код: 27.51.23.130, Количество строк: 257
ОКПД2 код: 27.12.24.110, Количество строк: 254
ОКПД2 код: 25.93.14.111, Количество строк: 254
ОКПД2 код: 26.30.11.190, Количество строк: 253
ОКПД2 код: 31.09.13.190, Количество строк: 252
ОКПД2 код: 10.82.22.149, Количество строк: 252
ОКПД2 код: 25.73.30.233, Количество строк: 252
ОКПД2 код: 19.20.29.120, Количество строк: 251
ОКПД2 код: 25.94.12.130, Количество строк: 251
ОКПД2 код: 15.20.11.113, Количество строк: 251
ОКПД2 код: 32.50.42.120, Количество строк: 250
ОКПД2 код: 31.09.12.131, Количество строк: 249
ОКПД2 код: 22.19.20.120, Количество строк: 248
ОКПД2 код: 15.20.14.110, Количество строк: 247
ОКПД2 код: 24.10.62.213, Количество строк: 246
ОКПД2 код: 32.99.13.130, Количество строк: 246
ОКПД2 код: 19.20.29.210, Количество строк: 245
ОКПД2 код: 26.80.11.000, Количество строк: 245
ОКПД2 код: 17.23.12.110, Количество строк: 243
ОКПД2 код: 25.73.30.163, Количество строк: 243
ОКПД2 код: 15.12.19.110, Количество строк: 240
ОКПД2 код: 14.19.22.190, Количество строк: 240
ОКПД2 код: 29.31.23.111, Количество строк: 239
ОКПД2 код: 28.29.12.140, Количество строк: 238
ОКПД2 код: 27.51.28.130, Количество строк: 236
ОКПД2 код: 25.30.12.113, Количество строк: 236
ОКПД2 код: 32.99.11.160, Количество строк: 236
ОКПД2 код: 28.14.11.190, Количество строк: 236
ОКПД2 код: 32.99.53.130, Количество строк: 235
ОКПД2 код: 25.73.30.165, Количество строк: 234
ОКПД2 код: 30.20.40.153, Количество строк: 234
ОКПД2 код: 29.32.30.182, Количество строк: 234
ОКПД2 код: 28.13.11.110, Количество строк: 234
ОКПД2 код: 32.99.15.110, Количество строк: 233
ОКПД2 код: 20.30.12.110, Количество строк: 232
ОКПД2 код: 23.61.12.163, Количество строк: 232
ОКПД2 код: 27.51.24.120, Количество строк: 230
ОКПД2 код: 32.91.11.000, Количество строк: 229
ОКПД2 код: 27.90.13.121, Количество строк: 228
ОКПД2 код: 28.13.32.110, Количество строк: 228
ОКПД2 код: 25.72.11.110, Количество строк: 228
ОКПД2 код: 22.19.30.139, Количество строк: 227
ОКПД2 код: 27.32.13.131, Количество строк: 226
ОКПД2 код: 17.22.11.140, Количество строк: 224
ОКПД2 код: 25.73.30.174, Количество строк: 223
ОКПД2 код: 25.71.11.120, Количество строк: 220
ОКПД2 код: 16.29.14.191, Количество строк: 220
ОКПД2 код: 14.14.14.120, Количество строк: 220
ОКПД2 код: 21.20.10.239, Количество строк: 220
ОКПД2 код: 26.30.11.129, Количество строк: 217
ОКПД2 код: 23.43.10.110, Количество строк: 216
ОКПД2 код: 29.32.30.211, Количество строк: 216
ОКПД2 код: 22.22.13.190, Количество строк: 215
ОКПД2 код: 30.20.40.172, Количество строк: 214
ОКПД2 код: 23.61.12.151, Количество строк: 214
ОКПД2 код: 25.73.30.224, Количество строк: 213
ОКПД2 код: 25.73.30.173, Количество строк: 213
ОКПД2 код: 31.01.13.000, Количество строк: 212
ОКПД2 код: 25.21.12.000, Количество строк: 212
ОКПД2 код: 31.09.12.132, Количество строк: 210
ОКПД2 код: 15.20.14.130, Количество строк: 210
ОКПД2 код: 21.20.23.192, Количество строк: 210
ОКПД2 код: 16.23.11.130, Количество строк: 209
ОКПД2 код: 22.19.30.135, Количество строк: 208
ОКПД2 код: 24.10.31.000, Количество строк: 207
ОКПД2 код: 25.73.60.150, Количество строк: 207
ОКПД2 код: 26.51.33.141, Количество строк: 207
ОКПД2 код: 27.11.50.110, Количество строк: 206
ОКПД2 код: 28.14.11.131, Количество строк: 206
ОКПД2 код: 23.70.12.110, Количество строк: 205
ОКПД2 код: 11.07.19.134, Количество строк: 205
ОКПД2 код: 29.31.23.112, Количество строк: 205
ОКПД2 код: 26.51.43.149, Количество строк: 204
ОКПД2 код: 28.15.10.123, Количество строк: 204
ОКПД2 код: 25.73.40.162, Количество строк: 203
ОКПД2 код: 32.13.10.120, Количество строк: 203
ОКПД2 код: 31.02.10.120, Количество строк: 202
ОКПД2 код: 20.41.32.121, Количество строк: 202
ОКПД2 код: 17.23.13.110, Количество строк: 202
ОКПД2 код: 58.11.16.000, Количество строк: 202
ОКПД2 код: 24.20.13.130, Количество строк: 201
ОКПД2 код: 25.73.30.154, Количество строк: 199
ОКПД2 код: 17.29.19.190, Количество строк: 199
ОКПД2 код: 28.12.14.190, Количество строк: 199
ОКПД2 код: 31.09.12.124, Количество строк: 198
ОКПД2 код: 25.73.30.166, Количество строк: 198
ОКПД2 код: 58.19.11.100, Количество строк: 198
ОКПД2 код: 25.30.12.112, Количество строк: 198
ОКПД2 код: 26.20.40.130, Количество строк: 196
ОКПД2 код: 28.15.10.124, Количество строк: 196
ОКПД2 код: 30.20.40.144, Количество строк: 196
ОКПД2 код: 27.11.43.000, Количество строк: 195
ОКПД2 код: 14.20.10.520, Количество строк: 195
ОКПД2 код: 20.52.10.110, Количество строк: 194
ОКПД2 код: 28.22.13.111, Количество строк: 194
ОКПД2 код: 14.20.10.420, Количество строк: 194
ОКПД2 код: 23.99.12.110, Количество строк: 193
ОКПД2 код: 26.30.23.119, Количество строк: 193
ОКПД2 код: 28.13.28.000, Количество строк: 193
ОКПД2 код: 23.12.13.111, Количество строк: 193
ОКПД2 код: 32.40.42.192, Количество строк: 193
ОКПД2 код: 31.01.12.140, Количество строк: 191
ОКПД2 код: 31.09.12.133, Количество строк: 191
ОКПД2 код: 24.10.66.121, Количество строк: 191
ОКПД2 код: 25.73.20.110, Количество строк: 191
ОКПД2 код: 17.23.13.196, Количество строк: 190
ОКПД2 код: 14.19.31.119, Количество строк: 188
ОКПД2 код: 27.32.13.192, Количество строк: 188
ОКПД2 код: 28.15.24.119, Количество строк: 187
ОКПД2 код: 25.94.12.120, Количество строк: 185
ОКПД2 код: 25.73.60.112, Количество строк: 184
ОКПД2 код: 28.15.10.121, Количество строк: 184
ОКПД2 код: 24.10.62.124, Количество строк: 183
ОКПД2 код: 15.20.32.120, Количество строк: 183
ОКПД2 код: 17.21.12.000, Количество строк: 183
ОКПД2 код: 27.12.10.120, Количество строк: 183
ОКПД2 код: 24.31.10.110, Количество строк: 182
ОКПД2 код: 25.72.13.120, Количество строк: 182
ОКПД2 код: 22.23.11.000, Количество строк: 181
ОКПД2 код: 28.15.22.000, Количество строк: 180
ОКПД2 код: 26.30.50.121, Количество строк: 180
ОКПД2 код: 28.22.13.119, Количество строк: 179
ОКПД2 код: 25.73.40.271, Количество строк: 178
ОКПД2 код: 30.20.31.115, Количество строк: 178
ОКПД2 код: 28.29.22.110, Количество строк: 178
ОКПД2 код: 31.09.12.121, Количество строк: 177
ОКПД2 код: 31.01.11.129, Количество строк: 177
ОКПД2 код: 26.40.41.000, Количество строк: 176
ОКПД2 код: 15.12.12.191, Количество строк: 176
ОКПД2 код: 27.40.32.000, Количество строк: 176
ОКПД2 код: 27.12.24.130, Количество строк: 174
ОКПД2 код: 20.59.43.120, Количество строк: 174
ОКПД2 код: 27.12.24.160, Количество строк: 174
ОКПД2 код: 24.44.22.110, Количество строк: 173
ОКПД2 код: 22.21.21.123, Количество строк: 173
ОКПД2 код: 22.22.19.190, Количество строк: 172
ОКПД2 код: 32.99.53.199, Количество строк: 172
